Episode,Agent_ID,Reward,Waiting_Time
14,1016184376,-298033.0,298033.0
14,1016200794,-969389.0,969389.0
14,5237321225,-1260204.0,1260204.0
14,9376141054,-1583057.0,1583057.0
14,GS_cluster_1016191643_1016191860_1016192269_1016198634,-9796.0,9796.0
14,cluster_1016183180_1016185346_1016193503_1016194749,-174116.0,174116.0
14,cluster_1016184252_1016191971,-800927.0,800927.0
14,cluster_1016184655_1016193545_1016201012_9372174241,-31347.0,31347.0
14,cluster_1016184997_1016188102_1016195714_5921483463,-29191.0,29191.0
14,cluster_1016185040_1016195865_9372174234_9372174235,-145413.0,145413.0
14,cluster_1016185522_1016193644_5237321232_5921362889_#1more,-31284.0,31284.0
14,cluster_1016189230_1016195084_5921362584_9371895544,-32387.0,32387.0
14,cluster_1016191702_1016195035,-81834.0,81834.0
14,cluster_1016191801_1016199119,-387683.0,387683.0
14,cluster_1016192514_4084049672_5921362888,-50790.0,50790.0
15,1016184376,-378758.0,378758.0
15,1016200794,-376413.0,376413.0
15,5237321225,-997923.0,997923.0
15,9376141054,-191917.0,191917.0
15,GS_cluster_1016191643_1016191860_1016192269_1016198634,-7370.0,7370.0
15,cluster_1016183180_1016185346_1016193503_1016194749,-238113.0,238113.0
15,cluster_1016184252_1016191971,-561844.0,561844.0
15,cluster_1016184655_1016193545_1016201012_9372174241,-45365.0,45365.0
15,cluster_1016184997_1016188102_1016195714_5921483463,-35822.0,35822.0
15,cluster_1016185040_1016195865_9372174234_9372174235,-127446.0,127446.0
15,cluster_1016185522_1016193644_5237321232_5921362889_#1more,-35203.0,35203.0
15,cluster_1016189230_1016195084_5921362584_9371895544,-29033.0,29033.0
15,cluster_1016191702_1016195035,-45433.0,45433.0
15,cluster_1016191801_1016199119,-268754.0,268754.0
15,cluster_1016192514_4084049672_5921362888,-40034.0,40034.0
16,1016184376,-317033.0,317033.0
16,1016200794,-1249248.0,1249248.0
16,5237321225,-711076.0,711076.0
16,9376141054,-1761456.0,1761456.0
16,GS_cluster_1016191643_1016191860_1016192269_1016198634,-9604.0,9604.0
