Agent,State,A0,A1
cluster_1016184997_1016188102_1016195714_5921483463,20010,-847.0158703124999,-180.75
cluster_1016184997_1016188102_1016195714_5921483463,20011,-235.71530479792355,-32.13333333333333
cluster_1016184997_1016188102_1016195714_5921483463,20021,0.0,-68.75076309066755
cluster_1016184997_1016188102_1016195714_5921483463,10020,0.0,-119.45997766996402
cluster_1016185040_1016195865_9372174234_9372174235,00000,-2594.4705586170985,-2721.814570589111
cluster_1016185040_1016195865_9372174234_9372174235,10000,-1275.3757079679303,-478.43600182228454
cluster_1016185040_1016195865_9372174234_9372174235,01000,-865.9506191908101,-356.7479630169288
cluster_1016185040_1016195865_9372174234_9372174235,00001,-996.6525475461713,-328.6019461625626
cluster_1016185040_1016195865_9372174234_9372174235,00010,-391.0672519647491,-180.3679912708964
cluster_1016185040_1016195865_9372174234_9372174235,00011,-525.57439776065,-137.64372924773252
cluster_1016185040_1016195865_9372174234_9372174235,11000,-431.54048878946855,-196.74907745117184
cluster_1016185040_1016195865_9372174234_9372174235,00100,-182.20117642668686,-3.454895833333333
cluster_1016185040_1016195865_9372174234_9372174235,10001,-244.49649102876995,0.0
cluster_1016185040_1016195865_9372174234_9372174235,10010,-316.2895318280007,-280.25
cluster_1016185522_1016193644_5237321232_5921362889_#1more,00000,-425.6600705244871,-435.2335978346861
cluster_1016185522_1016193644_5237321232_5921362889_#1more,01000,-567.7595521544138,-542.674508222319
cluster_1016185522_1016193644_5237321232_5921362889_#1more,00001,-155.0531197548636,-79.8836824306475
cluster_1016185522_1016193644_5237321232_5921362889_#1more,01001,-60.53070258851005,-47.785683671875
cluster_1016185522_1016193644_5237321232_5921362889_#1more,00010,-46.06529259213759,-24.739558489583334
cluster_1016185522_1016193644_5237321232_5921362889_#1more,01010,-74.53713392588529,-59.01361116319445
cluster_1016185522_1016193644_5237321232_5921362889_#1more,01011,-83.04690859757731,-23.805009943527896
cluster_1016185522_1016193644_5237321232_5921362889_#1more,00011,-188.67430398623304,-92.18674463652343
cluster_1016185522_1016193644_5237321232_5921362889_#1more,02000,-64.62568606862584,-52.7759375
cluster_1016189230_1016195084_5921362584_9371895544,000000,-447.852748526882,-472.35295932674853
cluster_1016189230_1016195084_5921362584_9371895544,000100,-345.563119738555,-182.27643881184747
cluster_1016189230_1016195084_5921362584_9371895544,010000,-489.1527677006129,-349.1835105778792
cluster_1016189230_1016195084_5921362584_9371895544,000001,-114.91370224021352,-42.88789287634738
cluster_1016189230_1016195084_5921362584_9371895544,001000,-102.02113461521222,-67.3624154793151
cluster_1016189230_1016195084_5921362584_9371895544,011000,-41.827310721178655,0.0
cluster_1016189230_1016195084_5921362584_9371895544,000010,-58.388209026752435,-22.181517838541666
cluster_1016189230_1016195084_5921362584_9371895544,001100,-165.246805786496,-95.979540166948
cluster_1016189230_1016195084_5921362584_9371895544,011100,-42.269406875179065,-11.083333333333334
cluster_1016189230_1016195084_5921362584_9371895544,010100,-91.64845368832381,-95.73919146139714
cluster_1016191702_1016195035,000000,-682.9345924085546,-697.8733079859512
cluster_1016191702_1016195035,000010,-497.2840089224669,-284.7773429220706
cluster_1016191702_1016195035,000100,-495.49827304963264,-213.28596825109108
cluster_1016191702_1016195035,000110,-451.82840036286325,-191.59817506688898
cluster_1016191702_1016195035,010000,-1059.31099224771,-1125.5591780723491
cluster_1016191702_1016195035,011000,-207.3253738886856,-120.66827494768741
cluster_1016191702_1016195035,010010,-137.20768333898758,-104.22626051172368
cluster_1016191702_1016195035,010110,-94.4788014317689,-60.81968750000001
cluster_1016191702_1016195035,001010,-57.00193675292271,-9.0
cluster_1016191702_1016195035,010100,-135.7475839075371,-91.88490391150681
